Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season,ranking_HT_ls,ranking_AT_ls
2014-11-29,Werder Bremen,Paderborn,4,0,1,0,H,24,15,13,4,9,6,18,18,Bundesliga,4.47976,0.839366,7,3,5.333333333333333,9.25,2.26,3.45,3.24,2014/2015,12,-2
2014-11-30,Ein Frankfurt,Dortmund,2,0,1,0,H,11,17,3,6,1,8,15,22,Bundesliga,2.21905,0.769829,4,9,8.310344827586206,7.428571428571429,5.11,4.3,1.64,2014/2015,13,2
2014-11-30,Wolfsburg,M'gladbach,1,0,1,0,H,23,10,12,2,9,5,13,12,Bundesliga,1.69265,0.606945,4,3,12.38888888888889,6.451612903225806,1.92,3.69,3.97,2014/2015,5,6
2014-12-05,Dortmund,Hoffenheim,1,0,1,0,H,19,6,6,1,8,3,20,12,Bundesliga,1.58062,0.202706,9,0,5.878048780487805,8.214285714285714,1.51,4.69,5.98,2014/2015,2,9
2014-12-06,Bayern Munich,Leverkusen,1,0,0,0,H,9,3,3,1,8,3,11,26,Bundesliga,0.947473,0.389245,3,1,7.181818181818182,11.71875,1.27,6.13,11.73,2014/2015,1,4
2014-12-06,FC Koln,Augsburg,1,2,1,0,A,12,14,4,4,5,9,10,13,Bundesliga,1.19112,1.35221,4,8,19.19047619047619,7.478260869565218,2.89,3.16,2.63,2014/2015,-1,8
2014-12-06,Hannover,Wolfsburg,1,3,1,1,A,16,15,6,7,11,9,14,18,Bundesliga,1.6788,1.85576,9,3,7.272727272727272,8.777777777777779,3.96,3.59,1.95,2014/2015,10,5
2014-12-06,M'gladbach,Hertha,3,2,1,1,H,13,11,10,3,4,3,17,17,Bundesliga,1.82786,1.42138,6,4,10.782608695652174,13.333333333333334,1.7,3.73,5.4,2014/2015,6,11
2014-12-06,Paderborn,Freiburg,1,1,0,1,D,24,4,8,2,6,1,15,26,Bundesliga,1.38276,0.883469,10,4,5.038461538461538,10.6,2.42,3.36,3.06,2014/2015,-2,14
2014-12-06,Stuttgart,Schalke 04,0,4,0,3,A,13,13,3,6,4,6,14,13,Bundesliga,0.675308,1.6953,7,5,9.6875,13.714285714285714,2.26,3.41,3.26,2014/2015,15,3
2014-12-07,Ein Frankfurt,Werder Bremen,5,2,1,1,H,22,10,13,4,9,2,17,12,Bundesliga,3.8335,1.44207,8,7,4.727272727272728,7.75,2.03,3.61,3.64,2014/2015,13,12
2014-12-07,Hamburg,Mainz,2,1,1,0,H,18,15,8,4,6,6,19,18,Bundesliga,2.03325,1.02472,8,5,5.775,3.2333333333333334,2.1,3.5,3.6,2014/2015,16,7
2014-12-12,Hoffenheim,Ein Frankfurt,3,2,1,0,H,20,19,8,7,4,6,16,19,Bundesliga,3.32968,2.42804,10,12,6.194444444444445,5.793103448275862,1.85,4.09,3.94,2014/2015,9,13
